Period,Sa
0.01,1.1033624410629272
0.02,1.1127212047576904
0.03,1.101785659790039
0.04,1.1373820304870605
0.05,1.1378803253173828
0.075,1.3433257341384888
0.1,1.9742857217788696
0.11,2.1336305141448975
0.12,2.275317668914795
0.13,3.44820499420166
0.14,3.41898775100708
0.15,3.2563273906707764
0.16,3.05200457572937
0.17,3.428201675415039
0.18,4.122618675231934
0.19,3.6420910358428955
0.2,3.190032720565796
0.22,3.099329710006714
0.24,2.7492895126342773
0.26,2.658424139022827
0.28,2.2998549938201904
0.3,2.6393141746520996
0.32,2.5295910835266113
0.34,2.47139835357666
0.36,2.592210531234741
0.38,2.446512222290039
0.4,2.2693212032318115
0.42,2.640319347381592
0.44,2.3107471466064453
0.46,1.9401036500930786
0.48,2.0656545162200928
0.5,1.8838294744491577
0.55,1.7488987445831299
0.6,1.6884770393371582
0.65,1.6251474618911743
0.7,1.6748578548431396
0.75,1.3375569581985474
0.8,1.1434744596481323
0.85,1.044787049293518
0.9,1.01016104221344
0.95,0.7914398312568665
1.0,0.7155565023422241
1.1,0.9771590828895569
1.2,0.9682731032371521
1.3,0.896722674369812
1.4,0.799174964427948
1.5,0.697272777557373
1.6,0.7004960179328918
1.7,0.6067174673080444
1.8,0.5283305048942566
1.9,0.4735872149467468
2.0,0.4164883494377136
2.2,0.4834858775138855
2.4,0.3963410258293152
2.6,0.3052509129047394
2.8,0.262656033039093
3.0,0.2439420372247696
3.2,0.18559369444847107
3.4,0.181179016828537
3.6,0.1917605996131897
3.8,0.18968695402145386
4.0,0.16921107470989227
4.2,0.14169299602508545
4.4,0.1281326562166214
4.6,0.12092943489551544
4.8,0.10839785635471344
5.0,0.09825082868337631
5.5,0.07769908010959625
6.0,0.06829717010259628
6.5,0.06209365651011467
7.0,0.0545385479927063
7.5,0.045846108347177505
8.0,0.04858946427702904
8.5,0.04333207383751869
9.0,0.038625482469797134
9.5,0.034311987459659576
10.0,0.0353410579264164
