Period,Sa
0.01,1.0654915571212769
0.02,1.079014539718628
0.03,1.1021873950958252
0.04,1.1397712230682373
0.05,1.221071720123291
0.075,1.534011721611023
0.1,1.7735663652420044
0.11,1.7270678281784058
0.12,1.8371734619140625
0.13,1.9178309440612793
0.14,2.0980889797210693
0.15,2.1563663482666016
0.16,2.1615138053894043
0.17,2.160327434539795
0.18,2.0765275955200195
0.19,2.1095969676971436
0.2,2.12742018699646
0.22,2.11529278755188
0.24,2.3375566005706787
0.26,2.3139872550964355
0.28,1.9344675540924072
0.3,2.291799545288086
0.32,2.3463146686553955
0.34,1.863463282585144
0.36,1.755246877670288
0.38,1.6414484977722168
0.4,1.5274591445922852
0.42,1.4882452487945557
0.44,1.473378300666809
0.46,1.5233991146087646
0.48,1.5013062953948975
0.5,1.512955904006958
0.55,1.5053250789642334
0.6,1.534858226776123
0.65,1.3094638586044312
0.7,1.102186918258667
0.75,0.9492473006248474
0.8,1.004976749420166
0.85,0.9415725469589233
0.9,1.066514253616333
0.95,0.8452121019363403
1.0,0.7547010183334351
1.1,0.6257936954498291
1.2,0.6580203175544739
1.3,0.5822513699531555
1.4,0.6233153343200684
1.5,0.5751039981842041
1.6,0.5321739315986633
1.7,0.4640175998210907
1.8,0.41057202219963074
1.9,0.3776240050792694
2.0,0.3588530719280243
2.2,0.3646984100341797
2.4,0.3377803862094879
2.6,0.3340483009815216
2.8,0.2958070933818817
3.0,0.2783488929271698
3.2,0.25126662850379944
3.4,0.23900380730628967
3.6,0.20022496581077576
3.8,0.16426502168178558
4.0,0.1668565273284912
4.2,0.17671577632427216
4.4,0.16825135052204132
4.6,0.15111251175403595
4.8,0.14339496195316315
5.0,0.13061457872390747
5.5,0.12427813559770584
6.0,0.1252322643995285
6.5,0.12316004931926727
7.0,0.12733133137226105
7.5,0.12370321154594421
8.0,0.11423973739147186
8.5,0.11152982711791992
9.0,0.10017456114292145
9.5,0.08982472866773605
10.0,0.08489670604467392
