Period,Sa
0.01,0.9492148160934448
0.02,0.9667084813117981
0.03,0.9972143769264221
0.04,1.004103422164917
0.05,0.983645498752594
0.075,1.1543151140213013
0.1,1.9313489198684692
0.11,1.711451530456543
0.12,1.5710411071777344
0.13,1.6357966661453247
0.14,2.00278377532959
0.15,2.2564353942871094
0.16,2.0693483352661133
0.17,1.78755784034729
0.18,1.8771864175796509
0.19,2.1686859130859375
0.2,2.401432514190674
0.22,2.0600719451904297
0.24,2.13006329536438
0.26,2.4021472930908203
0.28,2.4279873371124268
0.3,2.2190070152282715
0.32,2.1232750415802
0.34,2.101475954055786
0.36,2.3231093883514404
0.38,2.3875677585601807
0.4,2.344672679901123
0.42,2.342848777770996
0.44,2.3693439960479736
0.46,2.3403103351593018
0.48,2.258511543273926
0.5,2.163236141204834
0.55,1.8265055418014526
0.6,1.90289306640625
0.65,1.4620394706726074
0.7,1.3832554817199707
0.75,1.4624316692352295
0.8,1.4535424709320068
0.85,1.3851011991500854
0.9,1.3053730726242065
0.95,1.2344841957092285
1.0,1.1732215881347656
1.1,1.132796287536621
1.2,1.0794905424118042
1.3,0.9917522072792053
1.4,0.911598265171051
1.5,0.8497654795646667
1.6,0.7903115749359131
1.7,0.722713053226471
1.8,0.6502017974853516
1.9,0.5822766423225403
2.0,0.5279396176338196
2.2,0.4746543765068054
2.4,0.45041710138320923
2.6,0.42874255776405334
2.8,0.4070271849632263
3.0,0.3998289406299591
3.2,0.3897813856601715
3.4,0.3819462060928345
3.6,0.3697882890701294
3.8,0.35425034165382385
4.0,0.34149765968322754
4.2,0.33168497681617737
4.4,0.3123505413532257
4.6,0.28763025999069214
4.8,0.2712865173816681
5.0,0.2574256658554077
5.5,0.21760745346546173
6.0,0.18077176809310913
6.5,0.15927959978580475
7.0,0.13532692193984985
7.5,0.11400473862886429
8.0,0.10036259889602661
8.5,0.08821780234575272
9.0,0.07792088389396667
9.5,0.06938392668962479
10.0,0.06486455351114273
