Period,Sa
0.01,0.8040013602619593
0.02,0.809320639135569
0.03,0.8296944001866151
0.04,0.840448685485949
0.05,0.8883906027738455
0.075,1.0358023130118466
0.1,1.379318915829677
0.11,1.3746335606891322
0.12,1.3838578852613934
0.13,1.5143066564449015
0.14,1.6146343590923846
0.15,1.4773047941367172
0.16,1.335910170904048
0.17,1.1723469356494425
0.18,1.3238703922139947
0.19,1.5012343563296742
0.2,1.6914657476785546
0.22,2.3400163272685233
0.24,3.0205417557561027
0.26,2.5498909417661126
0.28,1.8778220364248053
0.3,1.5227718410293705
0.32,1.6134683349518533
0.34,1.4906145590238067
0.36,1.615279781804652
0.38,1.9376343018496602
0.4,1.9170913164584362
0.42,1.78062656648871
0.44,1.7586177572139479
0.46,1.7218624610868185
0.48,1.7324377181529467
0.5,1.6508097436983449
0.55,1.7316375967379913
0.6,1.736389861139819
0.65,1.6273635906815918
0.7,1.6174765988863204
0.75,1.5658167730563086
0.8,1.2514886980371691
0.85,1.0779348192022777
0.9,1.0935590726908433
0.95,1.0039885037818579
1.0,0.9482480661673092
1.1,0.8147411973625069
1.2,0.7410181596454471
1.3,0.6151036075582906
1.4,0.56076906157598
1.5,0.4936747309626417
1.6,0.4399456054869706
1.7,0.37508571762768317
1.8,0.3420493102725306
1.9,0.32072259808085984
2.0,0.3311604641774924
2.2,0.3053987125446594
2.4,0.2819848693900795
2.6,0.2595032268635666
2.8,0.24016315687978756
3.0,0.2305910816617729
3.2,0.211146368853963
3.4,0.18286144849322009
3.6,0.15904355012791332
3.8,0.1470571783790499
4.0,0.13960193145165387
4.2,0.13884614295927222
4.4,0.12853425734808552
4.6,0.11511986962987936
4.8,0.10055087461985532
5.0,0.09213626701395691
5.5,0.08166849647286784
6.0,0.07942285299874785
6.5,0.07842926603218285
7.0,0.08431914097288969
7.5,0.088252301296963
8.0,0.0859456187691138
8.5,0.08201942177980251
9.0,0.0768435966475934
9.5,0.07084748890792358
10.0,0.06430527161985233
