Period,Sa
0.01,0.7411804618331752
0.02,0.7972776322468897
0.03,0.8000307418986257
0.04,0.8415094703056122
0.05,0.8147282447073777
0.075,0.9635349163239167
0.1,1.4156499158977753
0.11,1.3950806490934389
0.12,1.3905557971747144
0.13,1.3841696507887429
0.14,1.4805181999405366
0.15,1.6220719121789584
0.16,1.7117917192554402
0.17,1.6261072229863895
0.18,1.635579473372015
0.19,1.7927451419332598
0.2,1.9425140823357725
0.22,1.7914962119547468
0.24,1.8727724801847918
0.26,2.058748106973371
0.28,2.07616323147627
0.3,2.085736592676533
0.32,1.9625572055297693
0.34,1.8565631413279295
0.36,1.8537329389088653
0.38,1.8605155710841255
0.4,1.7643569167349835
0.42,1.7473898210415435
0.44,1.8307943368804744
0.46,1.7980775454076865
0.48,1.6943578019139993
0.5,1.649298664389965
0.55,1.637125363498865
0.6,1.6637379426546395
0.65,1.407824072252649
0.7,1.249052693019603
0.75,1.3048255848717343
0.8,1.2327341479870557
0.85,1.1843482439341444
0.9,1.0544542806737531
0.95,0.9545571221986742
1.0,0.8697824278942583
1.1,0.8377111146029248
1.2,0.8166391563715586
1.3,0.7186159675191325
1.4,0.6532840586980102
1.5,0.640277513424286
1.6,0.6032986702059989
1.7,0.5475086753004481
1.8,0.5655636309660776
1.9,0.5308150446327766
2.0,0.4448997393413154
2.2,0.3810380945975888
2.4,0.3555892402434484
2.6,0.3411704562207386
2.8,0.32349745556016396
3.0,0.3026417086668214
3.2,0.29228268696794407
3.4,0.28207412404167964
3.6,0.27082178137884455
3.8,0.26677376367779243
4.0,0.2663325472817934
4.2,0.2573361715640025
4.4,0.24442076675204782
4.6,0.2238612325371331
4.8,0.20072656035190123
5.0,0.1887590202811882
5.5,0.1594453109212131
6.0,0.13499664677295517
6.5,0.11654992166181946
7.0,0.0985961700030939
7.5,0.08603532781047923
8.0,0.07755008047575425
8.5,0.06702948683320811
9.0,0.057616556534004534
9.5,0.051797450403517395
10.0,0.04663538990277997
