Period,Sa
0.01,0.719080829408617
0.02,0.7190786112994622
0.03,0.7334429367388076
0.04,0.7531271319997694
0.05,0.7792112312175831
0.075,0.9048821325618931
0.1,1.3226682006880381
0.11,1.2494232213264214
0.12,1.1985270335711127
0.13,1.2180193443499956
0.14,1.3997546396789073
0.15,1.5847071868370646
0.16,1.564262304559939
0.17,1.4301131658463109
0.18,1.4853493624995586
0.19,1.7388895727600786
0.2,1.8921496512993807
0.22,1.8005924427605489
0.24,1.7742603684409666
0.26,1.5468990296088154
0.28,1.6271532216195346
0.3,1.9836767758303735
0.32,2.2435695361935983
0.34,2.5155392539450196
0.36,2.451422299912912
0.38,2.3992365893099183
0.4,2.197049702834175
0.42,1.8949050478874578
0.44,1.7495999385349914
0.46,1.5921184012515388
0.48,1.5403696078776878
0.5,1.5321732825191972
0.55,1.4026276657377192
0.6,1.3506184560135353
0.65,1.4859210627438173
0.7,1.3414280639953462
0.75,1.1869331091073587
0.8,1.1495987333179667
0.85,1.1369151947342993
0.9,1.0542246935950832
0.95,0.986026320430678
1.0,0.9089824003381598
1.1,0.8626493379383804
1.2,0.853262655327075
1.3,0.751556002321163
1.4,0.6928068075821168
1.5,0.6680588314155395
1.6,0.6083063943197569
1.7,0.5651117371757994
1.8,0.5180753332581342
1.9,0.4730870370407115
2.0,0.38533119038303265
2.2,0.3235316856186609
2.4,0.2717633115357004
2.6,0.24914627017772317
2.8,0.1978539712477742
3.0,0.19135399013467422
3.2,0.17966585501482313
3.4,0.17381503097233286
3.6,0.16951042463384494
3.8,0.16236455863086746
4.0,0.15530839521626758
4.2,0.1686727416019159
4.4,0.17972144525361491
4.6,0.17201342556352966
4.8,0.15489078064028536
5.0,0.13996816763769038
5.5,0.1333869174766404
6.0,0.13159714018707078
6.5,0.13660405354796695
7.0,0.12916728460849525
7.5,0.1190321405612304
8.0,0.10439249455784803
8.5,0.09162753600156956
9.0,0.0817974198881976
9.5,0.07512232524096167
10.0,0.07217447827021173
