Period,Sa
0.01,0.7606149329053196
0.02,0.7606626118641827
0.03,0.7554134320988725
0.04,0.7606880996168319
0.05,0.7665664275494938
0.075,0.8134003311857846
0.1,1.124952175847953
0.11,1.1792631582341084
0.12,1.0759270034206225
0.13,1.2663433217089666
0.14,1.5357041910675437
0.15,1.5357599305190583
0.16,1.4245665232679368
0.17,1.4590763312268304
0.18,1.3785480001295298
0.19,1.3650939443853012
0.2,1.6027492204916978
0.22,1.735137155939734
0.24,1.6616215460423802
0.26,2.0389908802035746
0.28,1.902424934284351
0.3,1.7969799047423975
0.32,2.312171733193398
0.34,2.630281593334047
0.36,2.3600566042501065
0.38,2.3339862547397114
0.4,2.2042978174735444
0.42,1.964053096181479
0.44,1.7275419885159926
0.46,1.598235097855942
0.48,1.6306944791886893
0.5,1.5280942226359706
0.55,1.512291408994022
0.6,1.571005325651984
0.65,1.7364130810788398
0.7,1.869676988428008
0.75,1.8423745670476774
0.8,1.7569806383113824
0.85,1.630719222700108
0.9,1.4466198720584138
0.95,1.2755296147320443
1.0,1.0788947444159207
1.1,0.9044727250813301
1.2,0.757956357692125
1.3,0.5924703094726499
1.4,0.5373903985070784
1.5,0.5311481440804579
1.6,0.4875538044974584
1.7,0.4150968588782637
1.8,0.3808727536164786
1.9,0.353366448782362
2.0,0.3476922181837236
2.2,0.33678415370449766
2.4,0.31141309442802645
2.6,0.27868012397312086
2.8,0.24224611331762272
3.0,0.2326729844545407
3.2,0.22235476759375433
3.4,0.22203133907683226
3.6,0.22594221022061958
3.8,0.22339124223992488
4.0,0.22001741819956966
4.2,0.2097659573021187
4.4,0.19845443401670734
4.6,0.18919254120893686
4.8,0.17570729849784336
5.0,0.16766313695821838
5.5,0.15616663072112047
6.0,0.13864652774058617
6.5,0.12114447795942766
7.0,0.12689211086185015
7.5,0.12770215761754097
8.0,0.12344951488328584
8.5,0.11054760272864277
9.0,0.09837709574319908
9.5,0.08724235708703973
10.0,0.07638342591909524
