Period,Sa
0.01,1.116395115852356
0.02,1.1165634393692017
0.03,1.1149351596832275
0.04,1.4116501808166504
0.05,1.728647232055664
0.075,2.4020349979400635
0.1,2.9058139324188232
0.11,3.457918882369995
0.12,3.7243282794952393
0.13,2.7249937057495117
0.14,2.533064603805542
0.15,2.846014976501465
0.16,2.7939794063568115
0.17,2.6704540252685547
0.18,2.6924684047698975
0.19,2.308755874633789
0.2,1.9676719903945923
0.22,1.8375250101089478
0.24,2.0125696659088135
0.26,2.22951340675354
0.28,2.454195737838745
0.3,2.6171011924743652
0.32,2.758284330368042
0.34,2.4090235233306885
0.36,1.9365391731262207
0.38,1.9320892095565796
0.4,2.008667230606079
0.42,2.1788549423217773
0.44,2.3770534992218018
0.46,2.248800039291382
0.48,2.024500846862793
0.5,1.8765300512313843
0.55,1.4246737957000732
0.6,1.4609925746917725
0.65,1.4162132740020752
0.7,1.4640512466430664
0.75,1.3052008152008057
0.8,1.323113203048706
0.85,1.0452569723129272
0.9,0.9851924180984497
0.95,1.0022071599960327
1.0,0.9030810594558716
1.1,0.8431069254875183
1.2,0.8067751526832581
1.3,0.7758153676986694
1.4,0.7615751028060913
1.5,0.7027179002761841
1.6,0.7855905294418335
1.7,0.7822926044464111
1.8,0.6412532925605774
1.9,0.5187854766845703
2.0,0.4370431900024414
2.2,0.3356199562549591
2.4,0.31443965435028076
2.6,0.2917037606239319
2.8,0.2920389473438263
3.0,0.278495728969574
3.2,0.28703370690345764
3.4,0.2900947630405426
3.6,0.2759665846824646
3.8,0.25077447295188904
4.0,0.2216048240661621
4.2,0.20344552397727966
4.4,0.19465258717536926
4.6,0.1639409065246582
4.8,0.1632133424282074
5.0,0.16119082272052765
5.5,0.161516934633255
6.0,0.15173262357711792
6.5,0.13762857019901276
7.0,0.12218089401721954
7.5,0.10636194795370102
8.0,0.10049252212047577
8.5,0.08981987088918686
9.0,0.08322611451148987
9.5,0.07278423011302948
10.0,0.07021140307188034
