Period,Sa
0.01,0.7830793825329002
0.02,0.8038141779321315
0.03,0.7870559259443735
0.04,0.808133233145754
0.05,0.8179616152042054
0.075,1.0359785292199584
0.1,1.4288664541225495
0.11,1.6358588747634533
0.12,1.73337506725401
0.13,2.543195810822792
0.14,2.5746945086460498
0.15,2.4491185121949486
0.16,2.2082378066831367
0.17,2.475615149369176
0.18,2.9899268200181
0.19,2.6387804648100635
0.2,2.331533070764447
0.22,2.2341275118952684
0.24,1.9960622796648018
0.26,1.9039899741856732
0.28,1.658413987839828
0.3,1.887511159995384
0.32,1.8100334845610142
0.34,1.765517179745987
0.36,1.8532704257928503
0.38,1.7495394578277494
0.4,1.620504945676433
0.42,1.8851801914756672
0.44,1.6487481650211016
0.46,1.3851966211214217
0.48,1.473636145059061
0.5,1.343111186024519
0.55,1.2472802947642256
0.6,1.206627096372393
0.65,1.1576754864689554
0.7,1.190922301486529
0.75,0.952841630806945
0.8,0.8118669204906632
0.85,0.7437609216837651
0.9,0.7191449090587702
0.95,0.5647306649043553
1.0,0.511249096999351
1.1,0.6938441515407844
1.2,0.6904690270971677
1.3,0.639011954574489
1.4,0.5672684716694277
1.5,0.49713829905759527
1.6,0.4980994320709669
1.7,0.43290343700498785
1.8,0.3750787947520232
1.9,0.3369963072882296
2.0,0.2959109289270779
2.2,0.3459298410060256
2.4,0.3041194275724954
2.6,0.23999577995994711
2.8,0.20473768295293118
3.0,0.18344811946870554
3.2,0.14043056212227417
3.4,0.13793882839312585
3.6,0.14367098171867937
3.8,0.1458348098483558
4.0,0.13321692951067152
4.2,0.10935801593584384
4.4,0.09755206982634143
4.6,0.09105459509631333
4.8,0.08377192058410186
5.0,0.07459849133682984
5.5,0.058467475921967715
6.0,0.05077794179812665
6.5,0.04552018588940605
7.0,0.039455395285128605
7.5,0.038304096664267595
8.0,0.03781306840794761
8.5,0.035806964348244444
9.0,0.03236923040919557
9.5,0.02877535235707656
10.0,0.025889413268245988
