Period,Sa
0.01,1.3700239658355713
0.02,1.465967059135437
0.03,1.5867539644241333
0.04,2.047150135040283
0.05,2.3241207599639893
0.075,2.599719762802124
0.1,2.0285065174102783
0.11,2.5165090560913086
0.12,3.6778323650360107
0.13,3.2730791568756104
0.14,2.8670225143432617
0.15,2.8468687534332275
0.16,3.1957077980041504
0.17,4.076509952545166
0.18,3.1513304710388184
0.19,2.826223850250244
0.2,2.7775702476501465
0.22,2.652282476425171
0.24,2.3025283813476562
0.26,2.53193736076355
0.28,2.7906439304351807
0.3,2.7630395889282227
0.32,2.4388272762298584
0.34,2.1838037967681885
0.36,2.295912265777588
0.38,2.398052453994751
0.4,2.274536371231079
0.42,2.26245379447937
0.44,2.087503433227539
0.46,1.8369810581207275
0.48,1.7903341054916382
0.5,1.6714149713516235
0.55,1.5412687063217163
0.6,1.4040412902832031
0.65,1.4773961305618286
0.7,1.3637076616287231
0.75,1.2726454734802246
0.8,1.1837652921676636
0.85,1.30217707157135
0.9,1.252742052078247
0.95,1.1298747062683105
1.0,1.0463345050811768
1.1,1.0313808917999268
1.2,1.0215399265289307
1.3,0.9839768409729004
1.4,0.8827187418937683
1.5,0.8375157117843628
1.6,0.7898848056793213
1.7,0.7422918081283569
1.8,0.6579511761665344
1.9,0.5804795622825623
2.0,0.47235700488090515
2.2,0.4060179591178894
2.4,0.3455003798007965
2.6,0.3464949429035187
2.8,0.35468828678131104
3.0,0.30704301595687866
3.2,0.258838951587677
3.4,0.24258649349212646
3.6,0.22567155957221985
3.8,0.19519847631454468
4.0,0.1830872744321823
4.2,0.1831546127796173
4.4,0.1813523918390274
4.6,0.17898808419704437
4.8,0.1739172488451004
5.0,0.16544681787490845
5.5,0.14177300035953522
6.0,0.12243837118148804
6.5,0.1177620068192482
7.0,0.10973980277776718
7.5,0.11239413172006607
8.0,0.11986979097127914
8.5,0.11927849054336548
9.0,0.11026199162006378
9.5,0.09863483160734177
10.0,0.08966097980737686
